book_nr,book_name,chapter_nr,verse_nr,genre,language
1,Genesis,1,1,prose,Hebrew
1,Genesis,1,2,prose,Hebrew
1,Genesis,1,3,prose,Hebrew
1,Genesis,1,4,prose,Hebrew
1,Genesis,1,5,prose,Hebrew
1,Genesis,1,6,prose,Hebrew
1,Genesis,1,7,prose,Hebrew
1,Genesis,1,8,prose,Hebrew
1,Genesis,1,9,prose,Hebrew
1,Genesis,1,10,prose,Hebrew
1,Genesis,1,11,prose,Hebrew
1,Genesis,1,12,prose,Hebrew
1,Genesis,1,13,prose,Hebrew
1,Genesis,1,14,prose,Hebrew
1,Genesis,1,15,prose,Hebrew
1,Genesis,1,16,prose,Hebrew
1,Genesis,1,17,prose,Hebrew
1,Genesis,1,18,prose,Hebrew
1,Genesis,1,19,prose,Hebrew
1,Genesis,1,20,prose,Hebrew
1,Genesis,1,21,prose,Hebrew
1,Genesis,1,22,prose,Hebrew
1,Genesis,1,23,prose,Hebrew
1,Genesis,1,24,prose,Hebrew
1,Genesis,1,25,prose,Hebrew
1,Genesis,1,26,prose,Hebrew
1,Genesis,1,27,prose,Hebrew
1,Genesis,1,28,prose,Hebrew
1,Genesis,1,29,prose,Hebrew
1,Genesis,1,30,prose,Hebrew
1,Genesis,1,31,prose,Hebrew
1,Genesis,2,1,prose,Hebrew
1,Genesis,2,2,prose,Hebrew
1,Genesis,2,3,prose,Hebrew
1,Genesis,2,4,prose,Hebrew
1,Genesis,2,5,prose,Hebrew
1,Genesis,2,6,prose,Hebrew
1,Genesis,2,7,prose,Hebrew
1,Genesis,2,8,prose,Hebrew
1,Genesis,2,9,prose,Hebrew
1,Genesis,2,10,prose,Hebrew
1,Genesis,2,11,prose,Hebrew
1,Genesis,2,12,prose,Hebrew
1,Genesis,2,13,prose,Hebrew
1,Genesis,2,14,prose,Hebrew
1,Genesis,2,15,prose,Hebrew
1,Genesis,2,16,prose,Hebrew
1,Genesis,2,17,prose,Hebrew
1,Genesis,2,18,prose,Hebrew
1,Genesis,2,19,prose,Hebrew
1,Genesis,2,20,prose,Hebrew
1,Genesis,2,21,prose,Hebrew
1,Genesis,2,22,prose,Hebrew
1,Genesis,2,23,prose,Hebrew
1,Genesis,2,24,prose,Hebrew
1,Genesis,2,25,prose,Hebrew
1,Genesis,3,1,prose,Hebrew
1,Genesis,3,2,prose,Hebrew
1,Genesis,3,3,prose,Hebrew
1,Genesis,3,4,prose,Hebrew
1,Genesis,3,5,prose,Hebrew
1,Genesis,3,6,prose,Hebrew
1,Genesis,3,7,prose,Hebrew
1,Genesis,3,8,prose,Hebrew
1,Genesis,3,9,prose,Hebrew
1,Genesis,3,10,prose,Hebrew
1,Genesis,3,11,prose,Hebrew
1,Genesis,3,12,prose,Hebrew
1,Genesis,3,13,prose,Hebrew
1,Genesis,3,14,prose,Hebrew
1,Genesis,3,15,prose,Hebrew
1,Genesis,3,16,prose,Hebrew
1,Genesis,3,17,prose,Hebrew
1,Genesis,3,18,prose,Hebrew
1,Genesis,3,19,prose,Hebrew
1,Genesis,3,20,prose,Hebrew
1,Genesis,3,21,prose,Hebrew
1,Genesis,3,22,prose,Hebrew
1,Genesis,3,23,prose,Hebrew
1,Genesis,3,24,prose,Hebrew
1,Genesis,4,1,prose,Hebrew
1,Genesis,4,2,prose,Hebrew
1,Genesis,4,3,prose,Hebrew
1,Genesis,4,4,prose,Hebrew
1,Genesis,4,5,prose,Hebrew
1,Genesis,4,6,prose,Hebrew
1,Genesis,4,7,prose,Hebrew
1,Genesis,4,8,prose,Hebrew
1,Genesis,4,9,prose,Hebrew
1,Genesis,4,10,prose,Hebrew
1,Genesis,4,11,prose,Hebrew
1,Genesis,4,12,prose,Hebrew
1,Genesis,4,13,prose,Hebrew
1,Genesis,4,14,prose,Hebrew
1,Genesis,4,15,prose,Hebrew
1,Genesis,4,16,prose,Hebrew
1,Genesis,4,17,list,Hebrew
1,Genesis,4,18,list,Hebrew
1,Genesis,4,19,list,Hebrew
1,Genesis,4,20,list,Hebrew
1,Genesis,4,21,list,Hebrew
1,Genesis,4,22,list,Hebrew
1,Genesis,4,23,list,Hebrew
1,Genesis,4,24,prose,Hebrew
1,Genesis,4,25,prose,Hebrew
1,Genesis,4,26,prose,Hebrew
1,Genesis,5,1,list,Hebrew
1,Genesis,5,2,list,Hebrew
1,Genesis,5,3,list,Hebrew
1,Genesis,5,4,list,Hebrew
1,Genesis,5,5,list,Hebrew
1,Genesis,5,6,list,Hebrew
1,Genesis,5,7,list,Hebrew
1,Genesis,5,8,list,Hebrew
1,Genesis,5,9,list,Hebrew
1,Genesis,5,10,list,Hebrew
1,Genesis,5,11,list,Hebrew
1,Genesis,5,12,list,Hebrew
1,Genesis,5,13,list,Hebrew
1,Genesis,5,14,list,Hebrew
1,Genesis,5,15,list,Hebrew
1,Genesis,5,16,list,Hebrew
1,Genesis,5,17,list,Hebrew
1,Genesis,5,18,list,Hebrew
1,Genesis,5,19,list,Hebrew
1,Genesis,5,20,list,Hebrew
1,Genesis,5,21,list,Hebrew
1,Genesis,5,22,list,Hebrew
1,Genesis,5,23,list,Hebrew
1,Genesis,5,24,list,Hebrew
1,Genesis,5,25,list,Hebrew
1,Genesis,5,26,list,Hebrew
1,Genesis,5,27,list,Hebrew
1,Genesis,5,28,list,Hebrew
1,Genesis,5,29,list,Hebrew
1,Genesis,5,30,list,Hebrew
1,Genesis,5,31,list,Hebrew
1,Genesis,5,32,list,Hebrew
1,Genesis,6,1,prose,Hebrew
1,Genesis,6,2,prose,Hebrew
1,Genesis,6,3,prose,Hebrew
1,Genesis,6,4,prose,Hebrew
1,Genesis,6,5,prose,Hebrew
1,Genesis,6,6,prose,Hebrew
1,Genesis,6,7,prose,Hebrew
1,Genesis,6,8,prose,Hebrew
1,Genesis,6,9,prose,Hebrew
1,Genesis,6,10,prose,Hebrew
1,Genesis,6,11,prose,Hebrew
1,Genesis,6,12,prose,Hebrew
1,Genesis,6,13,prose,Hebrew
1,Genesis,6,14,prose,Hebrew
1,Genesis,6,15,prose,Hebrew
1,Genesis,6,16,prose,Hebrew
1,Genesis,6,17,prose,Hebrew
1,Genesis,6,18,prose,Hebrew
1,Genesis,6,19,prose,Hebrew
1,Genesis,6,20,prose,Hebrew
1,Genesis,6,21,prose,Hebrew
1,Genesis,6,22,prose,Hebrew
1,Genesis,7,1,prose,Hebrew
1,Genesis,7,2,prose,Hebrew
1,Genesis,7,3,prose,Hebrew
1,Genesis,7,4,prose,Hebrew
1,Genesis,7,5,prose,Hebrew
1,Genesis,7,6,prose,Hebrew
1,Genesis,7,7,prose,Hebrew
1,Genesis,7,8,prose,Hebrew
1,Genesis,7,9,prose,Hebrew
1,Genesis,7,10,prose,Hebrew
1,Genesis,7,11,prose,Hebrew
1,Genesis,7,12,prose,Hebrew
1,Genesis,7,13,prose,Hebrew
1,Genesis,7,14,prose,Hebrew
1,Genesis,7,15,prose,Hebrew
1,Genesis,7,16,prose,Hebrew
1,Genesis,7,17,prose,Hebrew
1,Genesis,7,18,prose,Hebrew
1,Genesis,7,19,prose,Hebrew
1,Genesis,7,20,prose,Hebrew
