Genesis	1	1	Ax xxxxx xxx xxxxx xx x xxxx x xx x xxx
Genesis	1	2	Ax x xxx xxxx xxx x xxx Ax xxx xx xxx xxxx Ax xxx xxxxx xxxxx xx xxx x xxx
Genesis	1	3	Ax xxxx xxxxx Axxx xxx Ax xxx xxx
Genesis	1	4	Ax xxx xxxxx xx x xxx Axx xxx Ax xxxx xxxxx xxx x xxx x xxx x xxx
Genesis	1	5	Ax xxxx xxxxx x e xxx xxx Ax x e xxx xxx xxxx Ax xxx xxx Ax xxx xxx Axxx xxx
Genesis	1	6	Ax xxxx xxxxx Axxx xxxx x xxx x xxx Ax xxx xxxxx xxx xxx x xxx
Genesis	1	7	Ax xxx xxxxx xx x xxxx Ax xxxx xxx x xxx Axxx x xxx x e xxxx Ax xxx x xxx Axxx x xx x e xxxx Ax xxx xx
Genesis	1	8	Ax xxxx xxxxx x e xxxx xxxx Ax xxx xxx Ax xxx xxx Axxx xxx
Genesis	1	9	Ax xxxx xxxxx Axxxx x xxx x xxx x xxxx xx xxxx xxx Ax xxxx x xxxx Ax xxx xx
Genesis	1	10	Ax xxxx xxxxx x e xxxx xxx Ax x xxxx x xxx xxx xxxx Ax xxx xxxxx Axx xxx
Genesis	1	11	Ax xxxx xxxxx Axxxx x xxx xxx xxx Axxxxx xxx Axx xxx Axxx xxx x xxxx Axxx xxxx xx Axx x xxx Ax xxx xx
Genesis	1	12	Ax xxxx x xxx xxx xxx Axxxxx xxx x xxxxx Ax xx Axxx xxx Axxx xxxx xx Ax xxxxx Ax xxx xxxxx Axx xxx
Genesis	1	13	Ax xxx xxx Ax xxx xxx Axxx xxxxx
Genesis	1	14	Ax xxxx xxxxx Axxx xxxx x xxxx x xxxx Ax xxxxx xxx x xxx x xxx x xxxx Ax xxx x xxx x x xxxxxx x x xxxx x xxxx
Genesis	1	15	Ax xxx x xxxxx x xxxx x xxxx Ax xxxx xx x xxx Ax xxx xx
Genesis	1	16	Ax xxx xxxxx xx xxx x xxxx x xxxxx xx x xxxx x xxx x xxxxx x xxx x xx x xxxx x xxx x xxxxx x xxxx x xx x xxxxxx
Genesis	1	17	Ax xxx xxx xxxxx x xxxx x xxxx Ax xxxx xx x xxx
Genesis	1	18	Ax x xxx x e xxx x x e xxxx Ax x xxxxx xxx x xxx x xxx x xxx Ax xxx xxxxx Axx xxx
Genesis	1	19	Ax xxx xxx Ax xxx xxx Axxx xxxxx
Genesis	1	20	Ax xxxx xxxxx Axxxxx x xxx xxx xxx xxx Ax xxx xxxxx xx x xxx xx xxx xxxx x xxxx
Genesis	1	21	Ax xxxx xxxxx xx x xxxxx x xxxxx x xx xx xxx Ax xxx Ax xxxx Axxx xxxx x xxx Ax xxxxx Ax xx xx xxx xxx x xxxxx Ax xxx xxxxx Axx xxx
Genesis	1	22	Ax xxxx xxx xxxxx Ax xxx Axxx Ax xxx Ax xxxx xx x xxx x e xxxx Ax x xxx xxx x e xxx
Genesis	1	23	Ax xxx xxx Ax xxx xxx Axxx xxxxx
Genesis	1	24	Ax xxxx xxxxx Axxxx x xxx xxx xxx x xxxx Axxxx x xxx x xxxx xxx x xxxx Ax xxx xx
Genesis	1	25	Ax xxx xxxxx xx xxx x xxx x xxxx Ax xx x xxxx x xxxx Ax xx xx xxx x xxxx x xxxxx Ax xxx xxxxx Axx xxx
Genesis	1	26	Ax xxxx xxxxx Axxxx xxx x xxxxx x xxxxxx Ax xxxx x xxx x xx x x xxx x xxxx x x e xxxx x x xx x xxx x x xx x xxx Ax xxx xx x xxx
Genesis	1	27	Ax xxxx xxxxx xx x xxx x xxxx Ax xxx xxxxx xxx xxx Axxx x xxxx xxx xxx
Genesis	1	28	Ax xxxx xxx xxxxx Ax xxxx xxx xxxxx Axxx Ax xxx Ax xxxx xx x xxx Ax xxxx Ax xxx x xxx x xx x x xxx x xxxx x x xx xxx Ax xxxx xx x xxx
Genesis	1	29	Ax xxxx xxxxx Axxx xxxx xxx xx xx xxx Axxx xxx Axxx xx xxx xx x xxx Ax xx xx x xx Axxx xx xxx xx Axxx xxx Axxx xxxx x xxxx
Genesis	1	30	Ax x xx xxx x xxx x x xx xxx x xxxx x x xx xxxx xx x xxx Axxx xx xxx xxx Axx xx xxx xxx x xxxx Ax xxx xx
Genesis	1	31	Ax xxx xxxxx xx xx Axxx xxx Ax xxx xxx xxx Ax xxx xxx Ax xxx xxx Axxx x xxx
Genesis	2	1	Ax xxxx x xxxx x x xxx x xx xxxx
Genesis	2	2	Ax xxx xxxxx x e xxx x xxxxx xxxxxx Axxx xxx Ax xxxx x e xxx x xxxxx x xx xxxxxx Axxx xxx
Genesis	2	3	Ax xxxx xxxxx xx xxx x xxxxx Ax xxxx xxx Axx xx xxx x xx xxxxxx Axxx xxx xxxxx Ax xxxx
Genesis	2	4	Axxx xxxxxx x xxxx x x xxx Ax xxxxx Ax xxx Axxxx xxxx xxxxx xxx x xxxx
Genesis	2	5	Ax xx xxx x xxx xxx xxxx x e xxx Ax xx xxx x xxx xxx xxxx Axx xx xxxxx xxxx xxxxx xx x xxx Ax xxx xxx Ax xxx xx x xxxx
Genesis	2	6	Ax xx xxxx xx x xxx Ax xxxx xx xx xxx x xxxx
Genesis	2	7	Ax xxxx xxxx xxxxx xx x xxx xxx xx x xxxx Ax xxx x xxxx xxxx xxxx Ax xxx x xxx x xxx xxx
Genesis	2	8	Ax xxx xxxx xxxxx xx x xxx x xxx Ax xxx xx xx x xxx Axxx xxx
Genesis	2	9	Ax xxxx xxxx xxxxx xx x xxxx xx xx Axxxx x xxxx Ax xxx x xxxx Ax xx x xxxx x xxx x xx Ax xx x xxx xxx x xx
Genesis	2	10	Ax xxx xxx x xxx Ax xxxxx xx x xx Ax x xx xxxx Ax xxx x xxxxx xxxxx
Genesis	2	11	Axx x xxx xxxxx Axxx Ax xxx xx xx xxx x xxxxx Axxx xx x xxx
Genesis	2	12	Ax xxx x xxx x xxx xxx Axx x xxxx x xxx x xxx
Genesis	2	13	Ax xx x xxx x xxx xxxxx Axxx Ax xxxx xx xx xxx xxx
Genesis	2	14	Ax xx x xxx x xxxxx xxxx Axxx Ax xxx xxxx xxxx Ax x xxx x xxxxx Axxx xxx
Genesis	2	15	Ax xxx xxxx xxxxx xx x xxx Ax xxxxx x xx xxx Ax xxxx Ax x xxxx
Genesis	2	16	Ax xxx xxxx xxxxx xx x xxx Ax xxx Ax xx xx x xx xxx xxxx
Genesis	2	17	Ax x xx x xxx xxx x xx Axx xxxx xxxx Axx x xxx Axxxx xxxx Axxx xxxx
Genesis	2	18	Ax xxxx xxxx xxxxx Axx xxx Axxxx x xxx x xxx Axxxx xx xxx x xxxx
Genesis	2	19	Ax xxx xxxx xxxxx xx x xxxx xx xxx x xxx x xx xx xxx x xxxx Ax xxx xx x xxx Ax xxxx Axx xxxx xx Ax xx Axxx xxxx xx x xxx xxx xxx Axxx xxx
Genesis	2	20	Ax xxxx x xxx xxxx x xx x xxxx x x xxx x xxxx x x xx xxx x xxx Ax x xxx xx xxx xxx x xxxx
Genesis	2	21	Ax xxx xxxx xxxxx xxxxx xx x xxx Ax xxxx Ax xxx xxx x xxxxxx Ax xxxx xxx xxxxx
Genesis	2	22	Ax xxx xxxx xxxxx xx x xxx Axxx xxx xx x xxx Ax xxx Ax xxxx xx x xxx
Genesis	2	23	Ax xxxx x xxx Axxx x xxx xxx x xxxx x xxx x xxxx Ax xxx xxxx xxx Axx x xxx xxxx xxx
Genesis	2	24	Axx xx xxxx xxx xx xxxx x xx xxx Ax xxx x xxxx Ax xxx x xxx xxx
Genesis	2	25	Ax xxxx xxxxx xxxxxx x xxx x xxxx Ax xx xxxxxx
Genesis	3	1	Ax x xxx xxx xxxx x xx xxx x xxx Axxx xxx xxxx xxxxx Ax xxxx xx x xxx Axx xx xxx xxxxx Axx xxxxx x xx xx x xx
