Genesis	1	1	xxxxxx xxx xxxxx xx xxxxx xxx xxxxA
Genesis	1	2	xxxxx xxxx xxx xxxxA xxxx xx xxx xxxxA xxxx xxxxx xxxxx xx xxx xxxxA
Genesis	1	3	xxxxx xxxxxA xxx xxxA xxxx xxxA
Genesis	1	4	xxxx xxxxx xx xxxxA xx xxxA xxxxx xxxxx xxx xxxx xxxx xxxxA
Genesis	1	5	xxxxx xxxxx xxxx xxxA xxxxx xxx xxxxA xxxx xxxA xxxx xxxA xxx xxxA
Genesis	1	6	xxxxx xxxxxA xxx xxxx xxxx xxxxA xxxx xxxxx xxx xxx xxxxA
Genesis	1	7	xxxx xxxxx xx xxxxxA xxxxx xxx xxxxA xxx xxxx xxxxxA xxxx xxxxA xxx xxx xxxxxA xxxx xxA
Genesis	1	8	xxxxx xxxxx xxxxx xxxxA xxxx xxxA xxxx xxxA xxx xxxA
Genesis	1	9	xxxxx xxxxxA xxxx xxxx xxxx xxxxx xx xxxx xxxA xxxxx xxxxxA xxxx xxA
Genesis	1	10	xxxxx xxxxx xxxxx xxxA xxxxxx xxxx xxx xxxxA xxxx xxxxxA xx xxxA
Genesis	1	11	xxxxx xxxxxA xxxx xxxx xxx xxxA xxxxx xxxA xx xxxA xxx xxx xxxxxA xxx xxxx xxA xx xxxxA xxxx xxA
Genesis	1	12	xxxxx xxxx xxx xxxA xxxxx xxx xxxxxxA xxxA xxx xxxA xxx xxxx xxA xxxxxxA xxxx xxxxxA xx xxxA
Genesis	1	13	xxxx xxxA xxxx xxxA xxx xxxxxA
Genesis	1	14	xxxxx xxxxxA xxx xxxx xxxxx xxxxxA xxxxxx xxx xxxx xxxx xxxxxA xxxx xxxx xxxxxxxx xxxxxx xxxxxA
Genesis	1	15	xxxx xxxxxx xxxxx xxxxxA xxxxx xx xxxxA xxxx xxA
Genesis	1	16	xxxx xxxxx xx xxx xxxxx xxxxxx xx xxxxx xxxx xxxxxx xxxx xxx xxxxx xxxx xxxxxx xxxxx xxx xxxxxxxA
